// Specialists Texture Types.  Modify this file only if texture names are changed!
//  'M' metal, 'V' ventillation, 'D' dirt, 'S' slosh liquid 
//  'T' tile, 'G' grate (Concrete is the default), 'W' wood, 'P' computer, 'Y' glass
// NOTE: only the first 12 characters of the texture name are used
// NOTE: a maximum of 512 textures may be tagged in this file

//3D Mike

//Bikini
s !3dm_swim02
w 3dm_sauna
d 3dm_seasight03
p 3dm_stereo
p 3dm_ab
d 3dm_villaflo05
d 3dm_villaflo06
d 3dm_villaflo10
w 3dm_wine02
w 3dm_wine03
m 3dm_mac_f
m 3dm_mac_s1
m 3dm_mac_s2
p arc_sf2tfr
p arc_sfatfr
d 3dm_roof01

//Dojo
d dojo_ground_01
d dojo_ground_02
d dojo_ground_03
d dojo_ground_04
d dojo_ground_05
d dojo_ground_06
d dojo_ground_07
d dojo_ground_08
w dojo_wood_01
w dojo_wood_02
w dojo_wood_03
w dojo_wood_04
w dojo_wood_05
w dojo_wood_07
w dojo_thingy_01
w dojo_thingy_02
w_dojo_floor_01
w_dojo_floor_02

//Greenhouse
m cstrike_oe4pnl
m cstrike_oe4pnlh
m dod_crate11
m dod_crate12
m dod_door03
p dod_newlight01
w dod_platfond01
g {grate4a
s !3dm_watery
m 3dm_ateambigf
m 3dm_ateambigs
w 3dm_crate01
w 3dm_crate04
w 3dm_crate05
w 3dm_drawer02
p 3md_fire01
m 3dm_fire02
p 3dm_lamp01
m 3dm_locker03
m 3dm_locker04
w 3dm_roof01
m 3dm_trash01
m 3dm_trash02
m 3dm_trash05
m 3dm_trash06
s 3dm_watery
s 3dm_watr05
s 3dm_watr06
s 3dm_watr07
p arc_kitfr
p arc_mk2fr
p arc_mk2s
m armoredfrnt
m amrmoredside
m armoredtop
p exitsign2
m gold_f
m gold_s
m gold_t
g {3dmvent
w dod_crate01
w dod_towr02
m {dod_door04


//ts textures (ts_faculty,panzibar,central,casa)

s !sgwat 
m doors_metald 
m metal2 
m metal6a 
m rtcorru2 
m rtcorru_5 
m metal_rusty 
m door01 
m sg_moddoor 
m warehousedo 
m sgmetal1 
m sgmetal2 
m sg_metal2bt 
p sg_phone1 
w wood4a 
w wooddark 
w wood01 
w cf_m_wd1 
w cf_m_wd2 
w cf_m_wd3 
p ts_panzibar 
m +0~oventop 
m sgovenfront 
p sgcomp_fr 
p sgcomp_mon 
p sgcomp_kb 
p sgcomp_r 
p sgcomp_sd 

//WillSchnevel 
D dm_canyonsand1 
W cg_buildmat05 
W will_wood2_256 
W mp_cardboard01b 
W mp_cardobard02b 
W mp_cardboard03b 
W mp_cardboard09a 
W mp_cardboardcom 
W dm_cuwoodm 
W TOL_oakDdesert 
W mp_box12b 
W mp_woodcrate1 
M tankrear 
M tankside 
M tanktop 
M tanktur 
M c1a1_crate1 
M c1a1_crate2 
M dm_humvee_b 
M dm_humvee_f 
M dm_humvee_h 
M dm_humvee_r 
M dm_humvee_s 
M dm_humvee_t 
M dm_cs_me2ri 
M dm_in_door7 
M mp_metalbox02a 
M mp_metcontain03 
M mp_metcontain04 
M mp_metcontain06

//cars of ts_parking and ts_gpc
m bmw_back
m bmw_fron
m bmw_side
m corfam2_back
m corfam2_fron
m corfam2_side
m corola2_back
m corola2_fron
m corola2_side
m golf2_back
m golf2_fron
m golf2_side
m megane2_back
m megane2_fron
m megane2_side
m merc2_back
m merc2_fron
m merc2_side
m twingo_back
m twingo_fron
m twingo_side
m van_e_back
m van_e_fron
